ref_id,doi,authors,citation_reference,year
Gs1982a,10.1016/0029-554x(82)90483-9,H. Geissel;Y. Laichter;W.F.W. Schneider;P. Armbruster,"H.Geissel,Y.Laichter,W.F.W.Schneider and P.Armbruster Nucl. Instr. Meth. 194,21",1982
Gs1982b,,H. Geissel;Y. Laichter;W.F.W.Schneider;P. Armbruster,"H.Geissel,Y.Laichter,W.F.W.Schneider and P.Armbruster Phys. Lett. 88A,26",1982
GS1982c,,H. Geissel," H.Geissel, GSI 82-12 Report, PhD Thesis
    ""Investigations on the deceleration of heavy ions in matter
    in the energy range from 0.5-10 MeV/amu"". Justus-Liebig University, Gieben.
    Data measured at UNILAC- GSI, 1977-81. (ex Gs98)",1982
Gs1983a,10.1016/0375-9601(83)90928-3,H. Geissel;Y. Laichter;W.F.W. Schneider;P. Armbruster,"H.Geissel,Y.Laichter,W.F.W.Schneider and P.Armbruster Phys.Lett. 99,77 (contains only effective charges derived from Gs82)",1983
Gs1983b,10.1016/0167-5087(83)90404-0,H. Geissel;Y. Laichter;R. Albrecht;T. Kitahara;J. Klabunde;P. Strehl;P. Armbruster,"H.Geissel,Y.Laichter,R.Albrecht,T.Kitahara,J.Klabunde, P.Strehl,P.Armbruster Nucl.Instrum.Methods Phys.Res. 206, 609",1983
Gt1962,,Yu.Gott; V.G.Tel'kovskiy,"Yu.Gott and V.G.Tel'kovskiy, Radiotekh.Electron. 7,1956 (1962) [Engl.trans. Rad.Eng.and Electron.Phys. 7,1813]",1962
Gt1968,,Yu.Gott and V.G.Tel'kovskiy,"Yu.Gott and V.G.Tel'kovskiy, Sov.Phys.-Solid State 9,1741 (1968)",1968
Gue2014,10.1016/j.radphyschem.2013.10.003,A. Guesmia;H. Ammi;S. Mammeri;A. Dib;C.A. Pineda-Vargas;M. Msimanga;M. Hedibel,"A.Guesmia,H.Ammi,S.Mammeri,A.Dib,C.A.Pineda-Vargas, M.Msimanga,M.Hedibel Rad. Phys. and Chem. 96, 205",2014
Gue2016,,A.Guesmia;M.Msimanga;C.A.Pineda-Vargas;H.Ammi;A.Dib;S.Mammeri,"A.Guesmia,M.Msimanga,C.A.Pineda-Vargas,H.Ammi,A.Dib,S.Mammeri Nucl.Instr.Methods Phys.Res. B 371, 69 (2016)",2016
Ha1975,10.1103/physrevb.11.1013,J. M. Harris;M- A. Nicolet,"J.M.Harris and M.-A.Nicolet Phys.Res. B11,1013",1975
Hak2002,10.1016/s0168-583x(01)00930-2,A. Hakim;A. Fahli;M. Toulemonde;D. Leliévre,"A.Hakim,A.Fahli,M.Toulemonde,D.Leliévre Nucl.Instr.Methods Phys.Res. B187, 164 (2002)",2002
Han1981,10.1016/0029-554x(81)90102-6,R.L. Hahn;K.S. Toth;R.L. Ferguson;F. Plasil,"R.L.Hahn,K.S.Toth,R.L.Ferguson,F.Plasil Nucl.Instrum.Methods Phys.Res. 180, 581",1981
Hb1972,10.1119/1.1986788,J. S. Huebner;L. L. Skolil,"J.S.Huebner and L.L.Skolil Am. J. Physics 40,1177",1972
HB2006,10.1016/j.nimb.2005.08.181,G. Hobler;K.K. Bourdelle;T. Akatsu,"G.Hobler,K.K.Bourdelle,T.Akatsu Nucl.Instr.Methods B 242, 617",2006
Hbe1978,10.1016/0375-9474(78)90440-2,F. Hinterberger; R. Schönhagen; P. von Rossen; B. Schüller; F.E. Blumenberg; P.D. Eversheim; R. Görgen,"F. Hinterberger et al, Nuclear Physics A 308, 61-76 (1978)",1978
Hc1991,10.1016/0168-583X(91)95289-P,N.Hecking,"N.Hecking, Nucl.Instrum.Methods Phys.Res. B59/60,619",1991
He1991,10.1051/jphyscol:1988704,J. HERAULT;R. BIMBOT;H. GAUVIN;R. ANNE;G. BASTIN;F. HUBERT,"J.Herault,R.Bimbot,H.Gauvin,B.Kubica,R.Anne,G.Bastin and F.Hubert Nucl.Instrum.Methods Phys.Res. B61,156",1991
Hfk1975,10.1080/00337577508240811,W. K. Hofker;D. P. Oosthoek;N. J. Koeman;H. A. M. de grefte,"W.K. Hofker, D.P. Oosthoek, N.J. Koeman, H.A.M. De Grefte Rad. Effects 24,223-231, 1975",1975
Hg1971,10.1002/pssb.19690350215,T. Högberg,"G.Högberg Phys.stat.sol. B48,829",1971
Hh1987,10.1016/0040-6090(87)90298-7,M.A. Harith;W.H. Osman;N.S. Gaafar;L.M. El-Nadi,"M.A.Harith,W.H.Osman,N.S.Gaafar and L.M.El-Nadi Thin Solid Films 149,219",1987
Hi1963,10.1103/physrev.132.701,R. L. Hines,"R.L.Hines Phys.Rev. 132,701",1963
Hk1994,10.1080/10420159408219974,V. Hari Kumar;A. P. Pathak;N. Nath;S. K. Sharma;A. Bhagwat;D. K. Avasthi,"V.Harikumar,A.P.Pathak,N.Nath,S.K.Sharma,A.Bhagwat,D.K.Avasthi Rad.Effects Defects in Sol. 132, 211",1994
Hk1996,10.1080/10420159608211547,Shyam Kumar;S. K. Sharma;N. Nath;V. Harikumar;A. P. Pathak;D. Kabiraj;D. K. Avasthi,"V.Harikumar,A.P.Pathak,S.K.Sharma,Shyam Kumar,N.Nath, D.Kabiraj, D.K.Avasthi Nucl.Instrum.Methods Phys.Res. B108, 223",1996
Hk1997,10.1088/0954-3899/25/1/012,Annu Sharma;Shyam Kumar;S K Sharma;N Nath;V Harikumar;A P Pathak;L N S Prakash Goteti;S K Hui;D K Avasthi,"V.Harikumar,A.P.Pathak,N.Nath,Shyam Kumar,S.K.Sharma,S.K.Hui, D.K.Avasthi Nucl.Instrum.Methods Phys.Res. B129, 143",1997
Hkm1987,10.1103/physreva.36.3654,H. H. Heckman;H. R. Bowman;Y. J. Karant;J. O. Rasmussen;A. I. Warwick;Z. Z. Xu,"H.H.Heckman,H.R.Bowman,Y.J.Karant,J.O.Rasmussen,A.I.Warwick, Z.Z.Xu Phys. Rev. A36, 3654",1987
Hl1974,10.1016/0020-7381(74)80023-9,D. Hildebrandt;U. Müller-Jahreis,"D.Hildebrandt and U.Müller-Jahreis Int.J.Mass Spectrom. and Ion Physics 13, 177",1974
HM1949,10.1103/physrev.76.323,Torben Huus;C. B. Madsen,"T.Huus and C.B.Madsen Phys.Rev. 76,323",1949
Hm1962,10.1103/physrev.127.799,M. N. Huberman,"M.N.Huberman Phys.Rev. 127,799",1962
Hn1978,10.1016/0029-554x(78)90497-4,Claus Hanke;Jens Laursen,"C.Hanke and J.Laursen Nucl.Instrum.Methods Phys.Res. 151,253",1978
Ho1976,10.1103/PhysRevA.13.2042,G. E. Hoffman;D. Powers,"G.E.Hoffman and D.Powers Phys.Rev. A13,2042",1976
Hof1976,10.1080/00337577608234781,I. Hoffmann;E. Jaäger;U. Müller-Jahreis,"I.Hoffmann,E.Jäger and U.Müller-Jahreis Rad.Effects 31,57",1976
Hoi1976,,A.l'Hoir;C.Cohen;G.Amsel,"A.l'Hoir,C.Cohen and G.Amsel in O.Meyer,G.Linker and F.Käppeler (edts): Ion Beam Surface Layer Analysis, Plenum, N.Y. 965",1976
Hq1985,10.1093/rpd/13.1-4.71,A.K.M.M. Haque;A. Mohammadi;H. Nikjoo,"A.K.M.M.Haque,A.Mohammadi and H.Nikjoo Rad. Prot. Dosimetry 13,71",1985
Hq1989,10.1088/0022-3727/22/8/027,A K M M Haque;A Mohammadi;H Nikjoo,"A.K.M.M.Haque,A.Mohammadi and H.Nikjoo J.Phys.D: Appl. Phys. 22,1196 (stopping results already given in Hq85)",1989
Hr1971,10.1515/zna-1971-0334,U.Hoyer;H.Waffler,"U.Hoyer and H.Waffler Zeitschrift für Naturforschung A 26, 592-95 (1971)",1971
Hs1965,,K.Hosono;R.Ishiwari;Y.Uejura,"K.Hosono,R.Ishiwari and Y.Uejura, Bull.Inst.Chem.Res.Kyoto Univ. 43,323",1965
Hs2007,10.1016/j.nimb.2006.11.106,J.Y. Hsu;J.H. Liang;Y.C. Yu;K.M. Chen,"J.Y. Hsu, J.H. Liang, Y.C. Yu and K.M. Chen Nucl. Instrum. Methods B 256, 153",2007
Hs2010,10.1016/j.nimb.2010.02.074,J.Y. Hsu;Y.C. Yu;K.M. Chen,"J.Y.Hsu,Y.C.Yu,K.M.Chen Nucl. Instrum. Methods B 268, 1786",2010
Ht1984,10.2172/195741,R.C. Haight;F.B. Bateman;S.M. Sterbenz;S.M. Grimes;O.A. Wasson;P. Maier-Komor;H. Vonach,"R.C.Haight and H.K.Vonach Nucl.Instrum.Methods Phys.Res. B1,9",1984
Hu1998,10.1016/s0168-583x(98)00392-9,Hu Bitao;Qi Zhong,"Bitao Hu, Zhong Qi Nucl.Instr.Methods Phys.Res. B145, 288",1998
Hu1999,10.1016/s0168-583x(98)00894-5,Hu Bitao;Liu Zhaoyuan;Qi Zhong,"Bitao Hu, Zhaoyuan Liu, Zhong Qi Nucl.Instr.Methods Phys.Res. B149, 395",1999
Hu2000,10.1016/s0168-583x(99)00519-4,Hu Bitao;Wu Ying;Zhang Xiaodong;Cheng Ximen;Liu Zhaoyuan,"Bitao Hu, Ying Wu, Xiaodong Zhang, Ximen Cheng, Zhaoyuan Liu Nucl.Instr.Methods Phys.Res. B160, 195 Note that for C in Ni, the points in Fig. 1 appear to disagree with the numbers given in Table 1.",2000
Hv1968,10.1103/physrev.165.408,P. Hvelplund;B. Fastrup,"P.Hvelplund and B.Fastrup Phys.Rev. 165,408",1968
Hv1971,,P.Hvelplund,"P.Hvelplund Danske Videnskab.Selskab Mat.-fys. Medd. 38,4",1971
HY2004,10.1016/j.nimb.2004.01.063,J.Y. Hsu;Y.C. Yu;J.H. Liang;K.M. Chen;H. Niu,"J.Y.Hsu,Y.C.Yu,J.H.Liang,K.M.Chen,H.Niu Nucl.Instrum.Methods B219-220, 251",2004
HY2005,10.1016/j.nimb.2005.07.077,J.Y. Hsu;Y.C. Yu;J.H. Liang;K.M. Chen,"J.Y.Hsu,Y.C.Yu,J.H.Liang,K.M.Chen Nucl.Instrum.Methods B 241, 155 (2005)",2005
ICRU49,,M. J. Berger;M. Inokuti;H. H. Andersen;H. Bichsel;D. Powers;S. M. Seltzer;D. Thwaites;D. E. Watt,"ICRU Report 49: Stopping Powers and Ranges for Protons and Alpha Particles, Intern. Commission on Radiation Units and Measurements, Bethesda, MD 20814, USA (1993),https://journals.sagepub.com/toc/crub/os-25/2",1993
Ik1996,10.1016/0168-583x(95)01511-6,Atsushi Ikeda;Koji Sumitomo;Takashi Nishioka;Yoshiaki Kido,"A.Ikeda,K.Sumimoto,T.Nishioka,Y.Kido Nucl.Instrum.Methods Phys. Res. B115,34",1996
Is1971,,R.Ishiwari;N.Shiomi;T.Ghata;Y.Uemura,"R.Ishiwari,N.Shiomi,T.Ghata and Y.Uemura, Bull.Inst.Chem.Res.Kyoto Univ. 49,403",1971
Is1974,10.1016/0375-9601(74)90416-2,R. Ishiwari;N. Shiomi;S. Shirai;U. Uemura,"R.Ishiwari,N.Shiomi,S.Shirai and Y.Uemura, Phys.Lett. A48,96 (1974)",1974
Is1975a,10.1016/0375-9601(75)90314-x,R. Ishiwari;N. Shiomi;S. Shirai,"R.Ishiwari,N.Shiomi and S.Shirai Phys.Lett. A51,53",1975
Is1975b,10.1143/jpsj.39.557,Ryutaro Ishiwari;Naoko Shiomi;Tamiko Katayama-Kinoshita;Fumiko Sawada-Yasue,"R.Ishiwari,N.Shiomi and R.Katayama-Kinoshita J.Phys.Soc.Japan 39,557",1975
Is1977a,,R.Ishiwari;N.Shiomi; S.Shirai,"R.Ishiwari,N.Shiomi and S.Shirai, Bull.Inst.Chem.Res.Kyoto Univ. 55,60",1977
Is1977b,,Ryutaro Ishiwari;Naoko Shiomi;Tamiko Katayama-Kinoshita;Fumiko Sawada-Yasue,"R.Ishiwari,N.Shiomi,T.Kinoshita and F.Yasue, Bull.Inst.Chem.Res.Kyoto Univ. 55,68",1977
Is1979,10.1016/0375-9601(79)90295-0,R. Ishiwari;N. Shiomi;N. Sakamoto,"R.Ishiwari,N.Shiomi and N.Sakamoto, Phys.Lett. A75,112 (1979) (This publication replaces measurements published earlier)",1979
Is1984,10.1016/0168-583x(84)90174-5,R. Ishiwari;N. Shiomi;N. Sakamoto,"R.Ishiwari,N.Shiomi and N.Sakamoto Nucl.Instrum.Methods Phys.Res. B2,141 (1984)",1984
Is1984b,10.1016/0168-583x(84)90187-3,R. Ishiwari;N. Shiomi;N. Sakamoto,"R.Ishiwari,N.Shiomi and N.Sakamoto Nucl.Instrum.Methods Phys.Res. B2,195-198 (1984)",1984
Is1988a,10.1016/b978-0-12-168561-4.50486-8,N. SHIOMI–TSUDA;N. SAKAMOTO;H. OGAWA;R. Ishiwari,"R.Ishiwari,N.Shiomi-Tsuda and N.Sakamoto Nucl.Instrum.Methods Phys.Res. B35,118",1988
Is1990,10.1016/b978-0-12-168561-4.50486-8,N. SHIOMI–TSUDA;N. SAKAMOTO;H. OGAWA;R. Ishiwari,"R.Ishiwari,N.Shiomi-Tsuda,N.Sakamoto,H.Ogawa Nucl.Instrum.Methods Phys.Res B47, 111",1990
Ish2023,10.1016/j.physletb.2023.138220,S. Ishikawa;H. Geissel;S. Purushothaman;H. Weick;E. Haettner;N. Iwasa;C. Scheidenberger;A.H. Sørensen;Y.K. Tanaka;T. Abel;J. Äystö;S. Bagchi;T. Dickel;V. Drozd;B. Franczak;F. Greiner;M.N. Harakeh;N. Kalantar-Nayestanaki;B. Kindler;R. Knöbel; D. Kostyleva; Kraft-Bermuth;N. Kuzminchuk;E. Lamour;B. Lommel;I. Mukha;Z. Patyk;S. Pietri;G. Schaumann;J. Zhao,"Ishikawa et al, Phy. Lett. B 846, 138220 (2023)",2023
Iw1985,10.1143/jpsj.54.1750,Akihiro Iwase;Shigemi Sasaki;Tadao Iwata;Takeshi Nihira,"A.Iwase,S.Sasaki,T.Iwata and T.Nihira Journ.of the Phys.Soc.of Japan,54,No5,1750",1985
Iz1980,10.1016/0029-554x(80)91235-5,Sh.Z. Izmailov;E.I. Sirotinin;A.F. Tulinov,"Sh.Z.Izmailow,E.I.Sirotonin and A.F.Tulinov Nucl.Instrum.Methods Phys.Res. 168,81 (1980)",1980
Jai1989,10.1088/0022-3727/22/8/003,R K Jain;S K Bose;K K Dwivedi,"R.K.Jain,S.K.Bose, and K.K.Dwivedi J.Phys. D: Appl. Phys. 22, 1025",1989
Jav2007,10.1109/tns.2007.895121,A. Javanainen;T. Malkiewicz;J. Perkowski;W.H. Trzaska;A. Virtanen;G. Berger;W. Hajdas;R. Harboe-Sorensen;H. Kettunen;V. Lyapin;M. Mutterer;A. Pirojenko;I. Riihimaki;T. Sajavaara;G. Tyurin;H.J. Whitlow,"A. Javanainen, T. Malkiewicz, J. Perkowski, W. H. Trzaska, A. Virtanen, G. Berger, W. Hajdas, R. Harboe-Sörensen, H. Kettunen, V. Lyapin, M. Mutterer, A. Pirojenko, I. Riihimaki, T. Sajavaara, G. Tyurin, and H. J. Whitlow IEEE Trans. Nucl. Science 54, 1158",2007
Jav2009,10.1109/tns.2008.2009983,A. Javanainen;M. Sillanpaa;W. H. Trzaska;A. Virtanen;G. Berger;W. Hajdas;R. Harboe-Sorensen;H. Kettunen;T. Malkiewicz;M. Mutterer;J. Perkowski;A. Pirojenko;I. Riihimaki;T. Sajavaara;G. Tyurin;H. J. Whitlow,"A.Javanainen,M.Sillanpää,W.H.Trzska,A.Virtanen, et al. IEEE Trans. Nucl. Science 56, 2242",2009
Jed2018,10.1016/j.nimb.2018.04.039,David Jedrejcic;Uwe Greife,"D. Jedrejcic, U. Greife, Nucl.Instr.Meth.Phys.Res. B 428,1-8 (2018)",2018
Jia1999,10.1103/physrevb.59.226,W. Jiang;R. Grötzschel;W. Pilz;B. Schmidt;W. Möller,"W.Jiang,R.Grötzschel,W.Pilz,B.Schmidt, and W.Möller Phys.Rev. B59,226",1999
Jin1993,,C.W.Jin;X.T.Lu;X.J.Huang;Y.L.Ye;Z.H.Xia;H.T.Liu;D.X.Jiang,"C.W.Jin,X.T.Lu,X.J.Huang,Y.L.Ye,Z.H.Xia,H.T.Liu,D.X.Jiang Phys.Rev. B48,6858",1993
Jin2013,10.1016/j.nimb.2013.02.051,K. Jin;Y. Zhang;H. Xue;Z. Zhu;W.J. Weber,"K.Jin,Y.Zhang,H.Xue,Z.Zhu,W.J.Weber Nucl. Instrum. Methods B 307, 65",2013
Jin2014,10.1063/1.4861642,K. Jin;Y. Zhang;Z. Zhu;D. A. Grove;H. Xue;J. Xue;W. J. Weber,"K.Jin,Y.Zhang,Z.Zhu,D.A.Grove,H.Xue,J.Xue,W.J.Weber J. Appl. Phys. 115, 044903 (2014)",2014
Jn1968,10.1103/physrev.169.974,C. H. Johnson;R. L. Kernell,"C.H.Johnson and R.L.KernelL, Phys.Rev. 169,974 (1968)",1968
Jo1971,10.1080/00337577108231005,A. Johansen;S. Steenstrup;T. Wohlenberg,"A.Johansen,S.Steenstrup and T.Wohlenberg,  Radiat.Eff. 8,31 (1971)",1971
Jok1997,10.1016/S0168-583X(97)00087-6,J.Jokinen,"J.Jokinen, Nucl.Instrum.Methods Phys.Res. B124,447",1997
Js2004,10.1063/1.1737810,M. S. Janson;M. K. Linnarsson;A. Hallén;B. G. Svensson,"M.S.Janson,M.K.Linnarsson,A.Hallen,B.G.Svensson J. Appl. Phys. 96, 164",2004
Ka1953,10.1103/physrev.90.503,David Kahn,"D.Kahn Phys.Rev. 90,503",1953
Kä1997,10.1103/physrevb.55.13275,W. Käferböck;W Rössler;V. Necas;P. Bauer;M. Peñalba;E. Zarate;A. Arnau,"W.Käferböck,W.Rössler,V.Necas,P.Bauer,M.Penalba,A.Arnau Phys. Rev. B55,13275",1997
Kan2019,10.1016/j.nimb.2018.10.034,K. Kantre;V. Paneta;D. Primetzhofer,"K-A. Kantre, V. Paneta, D. Primetzhofer, Nucl. Instr. Methods Phys. Res. B 450, 37 (2019).",2019
Kan2021,10.1002/sia.6951,Karim‐Alexandros Kantre;Marcos V. Moro;Valentina Paneta;Daniel Primetzhofer,"K-A. Kantre, M.V. Moro, V. Paneta, D. Primetzhofer, Surf Interface Anal. 2021, 1–8. https://doi.org/10.1002/sia.6951.",2021
Kc1998,10.1016/s0168-583x(98)80016-5,G. Konac;S. Kalbitzer;Ch. Klatt;D. Niemann;R. Stoll,"G.Konac,S.Kalbitzer,Ch.Klatt,D.Niemann,R,Stoll Nucl. Instr. Methods Phys. Res. B136-138, 159",1998
Ke1966,10.1097/00004032-196610000-00009,G. D. Kerr;L. M. Hairr;N. Underwood;A. W. Waltner,"G.D.Kerr,L.M.Hairr,N.Underwood and A.W.Waltner Health Phys. 12,1475",1966
Kei1992,10.1063/1.106972,J. Keinonen;K. Arstila;P. Tikkanen,"J.Keinonen,K.Arstila and P.Tikkanen Appl.Phys.Lett. 60,228",1992
Kel1973,,J.G.Kelley;B.Sellers;F.A.Hanser,"J.G.Kelley,B.Sellers and F.A.Hanser Phys.Rev.B8,103",1973
KF1966,10.1007/bf01380034,J. Kloppenburg;A. Flammersfeld,"J.Kloppenburg,A.Flammersfeld Zeit. Physik 196, 424",1966
Kh1984,10.1080/00337578408215788,V. A. Khodyrev;V. N. Mizgulin;E. I. Sirotinin;A. F. Tulinov,"V.A.Khodyrev,V.N.Mizgulin,E.I.Sirotonin and A.F.Tulinov Radiat.Eff. 83,21",1984
Kha2001,10.1016/s1350-4487(01)00173-1,D.T Khathing;S.P Tripathy;R Mishra;B.K Verma;K.K Dwivedi,"D.T.Khating,S.P.Tripathy,R.Mishra,B.K.Verma, and K.K.Dwivedi Radiation Measurements 34, 305 (2001).",2001
Ki1983,10.1103/physrevb.27.2667,Yoshiaki Kido;Tatsumi Hioki,"Y.Kido and T.Hioki Phys.Rev. B27,2667",1983
Kim1980,10.1103/physreva.22.61,Yong-Ki Kim;Kwok-tsang Cheng,"Yong-Ki Kim and Kwok-tsang Cheng Phys.Rev. A22,61",1980
KJ1985,10.1016/0168-583X(85)90748-7,Kuldeep; Animesh K. Jain,"Kuldeep and Jain,  Nucl.Instrum.Methods B 9, 259-262 (1985).",1985
KK1962,10.1007/bf01378142,D. Kamke;P. Kramer,"D.Kamke and P.Kramer Zeit. f. Physik 168, 465",1962
Kl1979,10.1109/tns.1979.4330379,James Kliwer;Ashraf ElFiqi,"J.Kliwer and A.El Fiqi IEEE Trans.Nucl.Sci. 26,1323",1979
Kn1980,10.1016/0029-554x(80)91229-x,H. Knudsen;H.H. Andersen;V. Martini,"H.Knudsen,H.H.Andersen and V.Martini Nucl.Instrum.Methods 168,41 (1980)",1980
Kny2006,10.1016/j.nimb.2006.04.071,G.N. Knyazheva;S.V. Khlebnikov;E.M. Kozulin;T.E. Kuzmina;V.G. Lyapin;M. Mutterer;J. Perkowski;W.H. Trzaska,"G.N.Knyazheva,S.V.Khlebnikov,E.M.Kozulin,T.E.Kuzmina, V.G.Lyapin,M.Mutterer,J.Perkowski,W.H.Trzaska Nucl.Instrum.Methods B248, 7",2006
Ko1974, 10.11470/oubutsu1932.43.1019,H.Kamitsubo,"H.Kamitsubo, Oyo Buturi 43, 1019 (1974) (obtained from J.F.Ziegler)",1974
Kr1982,10.1103/PhysRevB.26.6099,Siegfried Kreussler;C.Varelas;Rudolf Sizmann,"S.Kreussler,C.Varelas and R.Sizmann Phys.Rev. B26,6099",1982
Ks1989,10.1016/0168-583x(89)90732-5,Á.Z. Kiss;E. Somorjai;J. Räisänen;E. Rauhala,"A.Z.Kiss,E.Somorjai,J.Räisänen and E.Rauhala Nucl.Instrum.Methods Phys.Res. B39,15",1989
Kt1983a,10.1016/0167-5087(83)91084-0,Th. Krist;P. Mertens,"Th.Krist and P.Mertens Nucl.Instrum.Methods Phys.Res. 218,790",1983
Kt1983b,10.1016/0167-5087(83)91090-6,Th. Krist;P. Mertens,"Th.Krist and P.Mertens, Nucl.Instrum.Methods Phys.Res. 218,821 (1983) Title of paper: Stopping Ratios",1983
Kü1981,10.1002/pssa.2210660260,E. Kührt;K. Lenkeit;F. Täubner,"E.Kührt,K.Lenkeit and F.Täubner Phys.Status Solidi A66,K131",1981
Ku1988,10.1016/0168-583X(88)90090-0,A.Kuronen;J.Räisänen;J.Keinonen;P.Tikkanen;E.Rauhala,"A.Kuronen,J.Räisänen,J.Keinonen,P.Tikkanen, and E.Rauhala Nucl.Instrum.Methods Phys.Res. B35,1 and pers. comm. from J.Räisänen",1988
Ku1991,,A. Kuronen," A. Kuronen, A study of stopping power using nuclear methods, Comment. Phys.-Math. et ChemicoMedicae 122, 1 (1991), Ph.D. thesis, University of Helsinki",1991
Kul1998,10.1088/0022-3727/31/5/006,A Kulshreshtha;S Ghosh;K K Dwivedi,"A.Kulshreshta,S.Ghosh, and K.K.Dwivedi J. Phys. D: Appl. Phys. 31, 498",1998
Kul1999,10.1080/10420159908229005,A. Kutshreshtha;C. Laldawnglana;R. Mishra;S. Ghosh;K. K. Dwivedi;R. Brandt;D. Fink,"A.Kulshreshta,C.Laldawngliana,R.Mishra,S.Ghosh, K.K.Dwivedi,R.Brandt, and D.Fink Rad.Effects Defects Solids 147,151",1999
Kum2015,10.1016/j.ihj.2012.10.017,Sanjay Kumar Diwan ,"S. Kumar and P.K. Diwan J. Rad. Res. App. Science 8, 538 (2015)",2015
Kum2018,10.1080/10420150.2018.1513002,Sunil Kumar;P. K. Diwan,"S. Kumar and P.K. Diwan Rad. Effects and Defects in Solids 173, 970 (2018); DOI:10.1080/10420150.2018.1513002",2018
Kum2020,10.1016/j.vacuum.2020.109606,Sunil Kumar;Sonia Rani;Piyush Sharma;S.A. Khan;P.K. Diwan,"S. Kumar, S. Rani, P. Sharma, S.A. Khan and P.K. Diwan Vacuum 181, 109606 (2020).",2020
Kum2022,10.1007/s12648-022-02418-9, S. Kumar; S. Rani; P. Sharma; S. A. Khan; P. K. Diwan,"Kumar,et al. Indian J Phys 84, Springer (2022)",2022
Kz1980,10.1103/physreva.22.2598,Ronald Kreutz;Wolfgang Neuwirth;Werner Pietsch,"R.Kreutz,W.Neuwirth and W.Pietsch Phys.Rev. A22,2598",1980
La1972,10.1103/PhysRevA.6.1863,R. Langley,"R. Langley Phys. Rev. A 6, 1863",1972
La1975,10.1103/PhysRevB.12.3575,R.Langley,"R.Langley Phys.Rev. B12,3575",1975
La1976,10.1016/0029-554x(76)90719-9,Robert A. Langley;Robert S. Blewer,"R.Langley and R.Blewer Nucl.Instrum.Methods Phys.Res. 132,109",1976
LB1994,,L.LeBlanc;G.G.Ross,"L.LeBlanc,G.G.Ross Nucl.Instrum.Meth. Phys.Res. B90,54",1994
LB1995,10.1016/0168-583X(94)00606-7,L.LeBlanc;G.G.Ross;W.E.Wallace,"L.LeBlanc,G.G.Ross,W.E.Wallace Nucl.Instrum.Meth. Phys.Res. B 95,457",1995
Lb1996,10.1016/0168-583x(95)01331-8,M. Laube;F. Rauch;C. Ottermann;O. Anderson;K. Bange,"M.Laube,F.Rauch,C.Ottermann,O.Anderson,K.Bange Nucl. Instrum. Methods B 113, 288",1996
LCT2004,10.1016/j.nimb.2003.12.090,M.M.Li;D.J.Connor;H.Timmers,"M.M.Li,D.J.Connor,H.Timmers Nucl.Instrum.Methods B222,11",2004
Ld1985,10.1016/0168-583x(85)90243-5,David J. Land;Donald G. Simons;James G. Brennan;G.A. Glass,"D.J.Land,D.G.Simons,J.G.Brennan and G.A.Glass Nucl.Instrum.Methods Phys.Res.B10/11, 234",1985
Le1968,,E.Leminen;A.Fontell;M.Bister,"E.Leminen,A.Fontell and M.Bister Ann.Acad.Sci.Fenn. AVI. Phys.",1968
Le1971,,E.Leminen;A.Anttila,E.Leminen and A.Anttila Ann.Acad.Sci.Fenn. A VI. Phys. 370,1971
Le1974,10.1080/00337577408232143,E. Leminen;A. Fontell,"E.Leminen and A.Fontell Radiat.Eff. 22,39",1974
Len1983,10.1016/0167-5087(83)90208-9,W.N. Lennard;H.R. Andrews;B. Dubé;M. Freeman;I.V. Mitchell;D. Phillips;D. Ward,"W.N.Lennard,H.R.Andrews,B.Dube,M,Freeman,I.V.Mitchell, D.Phillips and D.Ward Nucl.Instrum. Methods Phys.Res. 205,351",1983
Len1986,10.1103/physrevlett.57.318,W. N. Lennard;H. Geissel;D. Phillips;D. P. Jackson,"W.Lennard,H.Geissel,D.Jackson and D.Phillips Nucl.Instrum. Methods Phys.Res. B13,127",1986
Len1987,10.1016/0168-583x(87)90575-1,W.N. Lennard;H. Geissel,"W.N.Lennard and H.Geissel Nucl.Instrum. Methods Phys.Res. B27,338",1987
Lg1976,10.1080/00337577608243025,E. Ligeon;A. Guivarc'h,"E.Ligeon and A.Guivarc'h Radiat.Eff. 27,129",1976
LH1976,10.1007/978-1-4615-8878-8,A. L’Hoir; C. Cohen; G. Amsel,"A. L’Hoir, C. Cohen, G. Amsel, Ion Beam Surface Layer Analysis Vol. 2, Plenum Press-New York 1976, p. 965, 978-1-4615-8881-8 (ISBN)",1976
LH1984,10.1016/0029-554x(82)90493-1,D. Schmaus;A. L'Hoir,"A.L'Hoir and D.Schmaus Nucl. Instr. Methods B4,1",1984
LH1987,10.1016/0168-583X(87)90490-3,S. R.Lee; R. R. Hart ,"S.R.Lee and R.R.Hart, Nucl. Instrum. Methods Phys. Res. B 28,470 (1987)",1987
Li1973a,10.1063/1.1662811,W. K. Lin;H. G. Olson;D. Powers,"U.K.Lin,H.G.Olson and D.Powers J.Appl.Phys. 44,3631",1973
Li1973b,10.1103/physrevb.8.1881,W. K. Lin;H. G. Olson;D. Powers,"U.K.Lin,H.G.Olson and D.Powers Phys.Rev. B8,1881",1973
Li1974,10.1103/physrevb.10.3746,W. K. Lin;S. Matteson;D. Powers,"W.K.Lin,S.Matteson and D.Powers Phys.Rev. B10,3746",1974
